,Sequence_ids,Sequence_times,SessionTime_Reference
37,"[26, 61, 16, 63, 37]","[0.6178999999999917, 0.5126999999999953, 0.24559999999999604, 0.2511000000000081, 0.2313000000000045]","[196.2721, 196.89, 197.40269999999998, 197.64829999999998, 197.89939999999999]"
38,[22],[0.22329999999999472],[200.1672]
39,"[21, 16, 66, 63, 37]","[0.3352999999999895, 0.2822000000000173, 0.06219999999999004, 0.23640000000000327, 0.23699999999999477]","[200.3905, 200.7258, 201.008, 201.0702, 201.3066]"
40,"[21, 16]","[0.5537999999999954, 0.34540000000001214]","[205.8102, 206.364]"
41,"[63, 37, 72]","[0.20980000000000132, 0.2668999999999926, 1.7068999999999903]","[206.74910000000003, 206.95890000000003, 207.22580000000002]"
42,"[21, 16, 63, 37, 72]","[0.49090000000001055, 0.24959999999998672, 0.30219999999999914, 0.2487000000000137, 1.1877999999999815]","[208.9327, 209.42360000000002, 209.6732, 209.9754, 210.22410000000002]"
43,"[21, 12]","[0.41310000000001423, 0.18859999999997967]","[211.4119, 211.82500000000002]"
44,"[63, 37, 72]","[0.30289999999999395, 0.21990000000002397, 1.0591000000000008]","[212.0789, 212.3818, 212.60170000000002]"
45,"[21, 11, 16, 63, 37, 72]","[0.3895999999999731, 0.07030000000000314, 0.19960000000000377, 0.2470000000000141, 0.23470000000000368, 1.2601999999999975]","[213.66080000000002, 214.0504, 214.1207, 214.3203, 214.56730000000002, 214.80200000000002]"
46,"[21, 16, 63, 37, 72]","[0.43379999999999086, 0.25389999999998736, 0.22160000000002356, 0.2237999999999829, 0.9044999999999845]","[216.06220000000002, 216.496, 216.7499, 216.97150000000002, 217.1953]"
47,"[21, 16, 63, 37, 72]","[0.3341000000000065, 0.23550000000000182, 0.31279999999998154, 0.3234000000000208, 1.102199999999982]","[218.0998, 218.4339, 218.6694, 218.98219999999998, 219.3056]"
48,"[21, 16, 63, 37, 72]","[0.5160999999999945, 0.2641000000000133, 0.24029999999999063, 0.21790000000001442, 1.5001000000000033]","[220.40779999999998, 220.92389999999997, 221.188, 221.42829999999998, 221.6462]"
