,Sequence_ids,Sequence_times,SessionTime_Reference
264,"[21, 16, 66, 63, 37, 72]","[0.41869999999994434, 0.20180000000004839, 0.11639999999999873, 0.2258000000000493, 0.2298999999999296, 1.199799999999982]","[705.4658000000001, 705.8845, 706.0863, 706.2027, 706.4285000000001, 706.6584]"
265,[22],[0.08299999999996999],[707.8582]
266,"[21, 16, 63, 37, 72]","[0.33379999999999654, 0.24649999999996908, 0.2276000000000522, 0.22329999999999472, 1.1043000000000802]","[707.9412, 708.275, 708.5215, 708.7491, 708.9724]"
267,"[21, 16, 63, 37, 72]","[0.2783999999999196, 0.25460000000009586, 0.22259999999994307, 0.21450000000004366, 0.9910999999999603]","[710.0767000000001, 710.3551, 710.6097000000001, 710.8323, 711.0468000000001]"
268,"[21, 16, 63, 37, 72]","[0.35569999999995616, 0.24919999999997344, 0.19590000000005148, 0.2565999999999349, 1.7671000000000276]","[712.0379, 712.3936, 712.6428, 712.8387, 713.0953]"
269,"[21, 16, 66, 63, 37, 72]","[0.45709999999996853, 0.23600000000010368, 0.06609999999989213, 0.17870000000004893, 0.21109999999998763, 0.7945000000000846]","[714.8624, 715.3195, 715.5555, 715.6216, 715.8003, 716.0114]"
270,"[21, 16, 63, 37, 72]","[0.809099999999944, 0.21460000000001855, 0.30380000000002383, 0.23669999999992797, 1.100500000000011]","[716.8059000000001, 717.615, 717.8296, 718.1334, 718.3701]"
271,"[26, 62]","[0.5432000000000698, 0.5240999999999758]","[719.4706, 720.0138000000001]"
272,"[26, 61, 12]","[0.5074999999999363, 0.4577000000000453, 0.22000000000002728]","[720.5379, 721.0454, 721.5031]"
273,"[26, 63, 37, 72]","[0.08330000000000837, 0.2499000000000251, 0.3164999999999054, 1.2273999999999887]","[721.7231, 721.8064, 722.0563000000001, 722.3728]"
274,"[21, 11, 16, 63, 37, 72]","[0.33600000000001273, 0.18220000000007985, 0.3086999999999307, 0.6173000000000002, 0.24620000000004438, 0.9535999999999376]","[723.6002, 723.9362, 724.1184000000001, 724.4271, 725.0444, 725.2906]"
275,"[26, 61, 16, 63, 37, 72]","[0.48109999999996944, 0.23910000000000764, 0.3130999999999631, 0.2766000000000304, 0.19670000000007803, 1.2354999999998881]","[726.2442, 726.7253, 726.9644, 727.2774999999999, 727.5541, 727.7508]"
276,"[21, 11, 16, 66, 63, 37]","[0.33130000000005566, 0.13630000000000564, 0.2645999999999731, 0.12779999999997926, 0.268100000000004, 0.2195000000000391]","[728.9862999999999, 729.3176, 729.4539, 729.7185, 729.8462999999999, 730.1143999999999]"
277,"[21, 11, 16, 63, 37]","[0.5578000000000429, 0.09029999999995653, 0.2640999999999849, 0.28449999999998, 0.21870000000001255]","[733.4003, 733.9581000000001, 734.0484, 734.3125, 734.597]"
278,"[21, 16, 63, 37, 72]","[0.6002999999999474, 0.5404000000000906, 0.2579999999999245, 0.223700000000008, 1.5986999999998943]","[741.4296, 742.0299, 742.5703000000001, 742.8283, 743.052]"
279,"[21, 11, 16, 63, 37, 72]","[0.3321000000000822, 0.15889999999990323, 0.27750000000003183, 0.2296000000000049, 0.20910000000003492, 1.0748000000000957]","[744.6506999999999, 744.9828, 745.1416999999999, 745.4191999999999, 745.6487999999999, 745.8579]"
280,"[21, 16, 66, 63, 37, 72]","[0.3249999999999318, 0.2545999999999822, 0.05730000000005475, 0.2078000000000202, 0.22699999999997544, 1.259499999999889]","[746.9327000000001, 747.2577, 747.5123, 747.5696, 747.7774000000001, 748.0044]"
281,"[21, 16, 63, 37, 72]","[0.296100000000024, 0.2798999999999978, 0.19659999999998945, 0.22699999999997544, 0.9936000000000149]","[749.2638999999999, 749.56, 749.8399, 750.0364999999999, 750.2634999999999]"
282,"[21, 16, 63, 37, 72]","[0.30920000000003256, 0.21469999999999345, 0.24300000000005184, 0.22109999999997854, 1.0020000000000664]","[751.2570999999999, 751.5663, 751.781, 752.024, 752.2451]"
283,"[21, 16, 63, 37, 72]","[0.28449999999998, 0.2504000000000133, 0.25329999999996744, 0.23869999999999436, 1.3330000000000837]","[753.2471, 753.5316, 753.782, 754.0353, 754.274]"
284,"[21, 16, 66, 63, 37, 72]","[0.39799999999991087, 0.1955000000000382, 0.1250999999999749, 0.2277000000000271, 0.2199000000000524, 1.1790999999999485]","[755.6070000000001, 756.005, 756.2005, 756.3256, 756.5533, 756.7732000000001]"
285,"[26, 66, 63, 33, 32]","[0.5480000000000018, 0.05629999999996471, 0.2744000000000142, 0.08090000000004238, 0.21209999999996398]","[757.9523, 758.5003, 758.5566, 758.831, 758.9119000000001]"
286,"[26, 62]","[0.5667999999999438, 0.48890000000005784]","[759.124, 759.6908]"
287,"[21, 16, 63, 37, 72]","[0.37779999999997926, 0.24630000000001928, 0.23550000000000182, 0.3161000000000058, 0.9786999999998898]","[760.1797, 760.5575, 760.8038, 761.0393, 761.3554]"
288,"[21, 16, 63, 37, 72]","[0.3040000000000873, 0.2819999999999254, 0.25080000000002656, 0.21889999999996235, 1.1721000000000004]","[762.3340999999999, 762.6381, 762.9200999999999, 763.1709, 763.3897999999999]"
289,"[21, 16, 63, 37, 72]","[0.3205000000000382, 0.28319999999996526, 0.25480000000004566, 0.2297999999999547, 1.1677000000000817]","[764.5618999999999, 764.8824, 765.1655999999999, 765.4204, 765.6501999999999]"
290,"[21, 16, 63, 37, 72]","[0.268799999999942, 0.25300000000004275, 0.3006000000000313, 0.3286999999999125, 1.152300000000082]","[766.8179, 767.0867, 767.3397, 767.6403, 767.9689999999999]"
291,"[21, 16, 63, 37, 71]","[0.31549999999992906, 0.23630000000002838, 0.2340000000000373, 0.1974999999999909, 1.2539000000000442]","[769.1213, 769.4368, 769.6731, 769.9071, 770.1046]"
292,"[43, 32]","[0.3043999999999869, 0.26720000000000255]","[776.3729000000001, 776.6773000000001]"
293,"[21, 16]","[0.30979999999999563, 0.3667000000000371]","[776.9445000000001, 777.2543000000001]"
294,"[63, 37, 72]","[0.30950000000007094, 0.245900000000006, 1.2463999999998805]","[777.6544, 777.9639000000001, 778.2098000000001]"
295,"[21, 16, 63, 37, 72]","[0.29300000000000637, 0.2436999999999898, 0.21850000000006276, 0.23239999999998417, 1.1808000000000902]","[779.4562, 779.7492, 779.9929, 780.2114, 780.4438]"
296,"[21, 16, 63, 37, 72]","[0.3242999999999938, 0.27559999999994034, 0.22329999999999472, 0.21320000000002892, 1.0172999999999774]","[781.6246000000001, 781.9489000000001, 782.2245, 782.4478, 782.6610000000001]"
297,"[21, 11, 16, 63, 37, 72]","[0.3383000000000038, 0.4835999999999103, 0.22660000000007585, 0.21420000000000528, 0.2238999999999578, 0.9874000000000933]","[783.6783, 784.0166, 784.5002, 784.7268, 784.941, 785.1649]"
298,"[21, 16, 63, 37, 72]","[0.3308999999999287, 0.24729999999999563, 0.2177000000000362, 0.23900000000003274, 1.772799999999961]","[786.1523000000001, 786.4832, 786.7305, 786.9482, 787.1872000000001]"
299,"[21, 16, 63, 37, 72]","[0.37400000000002365, 0.26549999999997453, 0.2438999999999396, 0.22210000000006858, 0.6449999999999818]","[788.96, 789.3340000000001, 789.5995, 789.8434, 790.0655]"
300,"[21, 16, 63, 37, 72]","[0.5677999999999201, 0.17810000000008586, 0.23719999999991614, 0.2153000000000702, 1.053299999999922]","[790.7105, 791.2783, 791.4564, 791.6936, 791.9089]"
301,"[21, 16, 63, 37, 72]","[0.28489999999999327, 0.23490000000003874, 0.21209999999996398, 0.21460000000001855, 1.1402000000000498]","[792.9621999999999, 793.2470999999999, 793.482, 793.6940999999999, 793.9087]"
302,"[21, 16, 63, 37, 72]","[0.309099999999944, 0.2317000000000462, 0.213799999999992, 0.2336999999999989, 0.9813000000000329]","[795.0489, 795.358, 795.5897, 795.8035, 796.0372]"
303,"[21, 16, 66, 63, 37, 72]","[0.3345000000000482, 0.2581000000000131, 0.08729999999991378, 0.18870000000003984, 0.2278999999999769, 1.3256000000000085]","[797.0185, 797.3530000000001, 797.6111000000001, 797.6984, 797.8871, 798.115]"
304,"[21, 16, 63, 37, 72]","[0.3543000000000802, 0.25869999999997617, 0.24069999999994707, 0.21890000000007603, 1.2169999999999845]","[799.4406, 799.7949000000001, 800.0536000000001, 800.2943, 800.5132000000001]"
305,"[21, 16, 63, 37, 72]","[0.3472999999999047, 0.23220000000003438, 0.2199000000000524, 0.24269999999989977, 1.5229000000000497]","[801.7302000000001, 802.0775, 802.3097, 802.5296000000001, 802.7723]"
306,"[21, 16, 63, 37, 72]","[0.3546000000000049, 0.22320000000001983, 0.20470000000000255, 0.2377999999999929, 0.6685999999999694]","[804.2952, 804.6498, 804.873, 805.0777, 805.3155]"
307,"[26, 61, 16, 63, 37, 72]","[0.7714999999999463, 0.7256999999999607, 0.25690000000008695, 0.2199999999999136, 0.21270000000004075, 0.982900000000086]","[805.9841, 806.7556, 807.4812999999999, 807.7382, 807.9581999999999, 808.1709]"
308,"[21, 16, 66, 63, 37, 72]","[0.3063999999999396, 0.5410000000000537, 0.08639999999991232, 0.25930000000005293, 0.20889999999997144, 1.0330000000000155]","[809.1538, 809.4602, 810.0012, 810.0876, 810.3469, 810.5558]"
309,"[21, 16, 63, 37, 72]","[0.280399999999986, 0.3226000000000795, 0.2240999999999076, 0.211400000000026, 1.1199000000000296]","[811.5888, 811.8692, 812.1918000000001, 812.4159, 812.6273]"
310,"[21, 16, 63, 37, 72]","[0.29949999999996635, 0.2719000000000733, 0.24639999999999418, 0.2117999999999256, 1.3875000000000455]","[813.7472, 814.0467, 814.3186000000001, 814.565, 814.7768]"
311,"[21, 16, 63, 37, 72]","[0.461400000000026, 0.24909999999999854, 0.22739999999998872, 0.2074999999999818, 1.0099999999998772]","[816.1643, 816.6257, 816.8748, 817.1022, 817.3097]"
312,"[26, 61, 13, 37, 72]","[0.5686000000000604, 0.4738999999999578, 0.5356000000000449, 0.25720000000001164, 0.4171999999999798]","[818.3196999999999, 818.8883, 819.3621999999999, 819.8978, 820.155]"
313,"[21, 16, 66, 63, 37, 72]","[0.279700000000048, 0.2219000000000051, 0.2920999999998912, 0.3671000000000504, 0.31569999999999254, 1.163000000000011]","[820.5722, 820.8519, 821.0738, 821.3658999999999, 821.733, 822.0486999999999]"
314,"[21, 11, 16, 63, 37, 72]","[0.32200000000000273, 0.5506000000000313, 0.2679000000000542, 0.25749999999993634, 0.20000000000004547, 1.1851999999998952]","[823.2117, 823.5337, 824.0843, 824.3522, 824.6097, 824.8097]"
315,"[21, 16, 63, 37]","[0.3994000000000142, 0.23070000000006985, 0.23769999999990432, 0.20710000000008222]","[825.9948999999999, 826.3942999999999, 826.625, 826.8626999999999]"
316,"[26, 61, 16, 63, 37, 72]","[0.6200000000000045, 0.3809999999999718, 0.3058000000000902, 0.2596999999999525, 0.2358000000000402, 0.9657999999999447]","[829.1304, 829.7504, 830.1314, 830.4372000000001, 830.6969, 830.9327000000001]"
317,"[21, 16, 63, 37]","[0.3524999999999636, 0.3186000000000604, 0.22690000000000055, 0.27940000000000964]","[831.8985, 832.251, 832.5696, 832.7965]"
318,"[21, 11, 16, 63, 37, 72]","[0.43619999999998527, 0.4555000000000291, 0.26329999999995835, 0.32320000000004256, 0.22239999999999327, 1.7048000000000911]","[835.7908, 836.227, 836.6825, 836.9458, 837.269, 837.4914]"
319,"[21, 16, 63, 37]","[0.4334999999999809, 0.2604000000000042, 0.23969999999997071, 0.21090000000003783]","[839.1962000000001, 839.6297000000001, 839.8901000000001, 840.1298]"
320,"[26, 61, 11, 16, 63, 37, 72]","[0.6852999999999838, 0.45230000000003656, 0.08500000000003638, 0.25549999999998363, 0.20230000000003656, 0.21019999999998618, 1.414199999999937]","[842.8873, 843.5726, 844.0249, 844.1099, 844.3654, 844.5677000000001, 844.7779]"
321,"[21, 16, 63, 37, 72]","[0.35439999999994143, 0.3181000000000722, 0.24519999999995434, 0.21410000000003038, 1.2744000000000142]","[846.1921, 846.5464999999999, 846.8646, 847.1098, 847.3239]"
322,"[21, 16, 63, 37, 72]","[0.2984000000000151, 0.29939999999999145, 0.255800000000022, 0.18669999999997344, 1.400600000000054]","[848.5983, 848.8967, 849.1961, 849.4519, 849.6386]"
323,"[21, 16, 63, 37, 72]","[0.313199999999938, 0.25310000000001764, 0.20680000000004384, 0.2118000000000393, 1.4539999999999509]","[851.0392, 851.3524, 851.6055, 851.8123, 852.0241000000001]"
324,"[21, 16, 63, 37, 72]","[0.3125999999999749, 0.2457000000000562, 0.2259999999999991, 0.21429999999998017, 1.3809999999999718]","[853.4781, 853.7907, 854.0364000000001, 854.2624000000001, 854.4767]"
325,[22],[0.35379999999997835],[855.8577]
326,"[21, 16, 66, 61, 16]","[0.27890000000002146, 0.26739999999995234, 0.2960000000000491, 0.49309999999991305, 0.3713000000000193]","[856.2115, 856.4904, 856.7578, 857.0538, 857.5468999999999]"
327,"[63, 37]","[0.25109999999995125, 0.2516000000000531]","[857.9565, 858.2076]"
328,"[21, 11, 16, 63, 37, 72]","[0.3611000000000786, 0.23109999999996944, 0.23699999999996635, 0.20710000000008222, 0.33330000000000837, 1.4690999999999121]","[860.8424, 861.2035000000001, 861.4346, 861.6716, 861.8787000000001, 862.2120000000001]"
329,"[21, 16, 63, 37, 72]","[0.28160000000002583, 0.4697999999999638, 0.22030000000006567, 0.22119999999995343, 0.8955999999999449]","[863.6811, 863.9627, 864.4325, 864.6528000000001, 864.874]"
330,"[21, 16, 66, 63, 37, 72]","[0.3040999999999485, 0.30320000000006075, 0.0988999999999578, 0.253400000000056, 0.20619999999996708, 0.7267000000000507]","[865.7696, 866.0736999999999, 866.3769, 866.4757999999999, 866.7292, 866.9354]"
331,"[21, 16, 63, 37, 72]","[0.3129000000000133, 0.23839999999995598, 0.24630000000001928, 0.23050000000000637, 1.1037000000000035]","[867.6621, 867.975, 868.2134, 868.4597, 868.6902]"
332,"[21, 16, 63, 37, 72]","[0.3894999999999982, 0.4053000000000111, 0.3522000000000389, 0.2297999999999547, 0.8849999999999909]","[869.7939, 870.1834, 870.5887, 870.9409, 871.1707]"
333,"[21, 16, 63, 37, 72]","[0.29340000000001965, 0.2658999999999878, 0.28720000000009804, 0.22509999999999764, 0.6327999999999747]","[872.0557, 872.3491, 872.615, 872.9022000000001, 873.1273000000001]"
334,"[21, 16, 63, 33, 37, 72]","[0.2418999999999869, 0.24639999999999418, 0.3086999999999307, 0.1007000000000744, 0.23090000000001965, 1.5435999999999694]","[873.7601000000001, 874.0020000000001, 874.2484000000001, 874.5571, 874.6578000000001, 874.8887000000001]"
335,"[21, 12]","[0.3062999999999647, 0.20879999999999654]","[876.4323, 876.7386]"
336,"[26, 63, 37, 72]","[0.07019999999999982, 0.2437999999999647, 0.2113000000000511, 1.3250999999999067]","[876.9474, 877.0176, 877.2614, 877.4727]"
337,"[21, 16, 63, 37, 72]","[0.2982000000000653, 0.2597999999999274, 0.21670000000005984, 0.213799999999992, 1.1797000000000253]","[878.7977999999999, 879.096, 879.3557999999999, 879.5725, 879.7863]"
338,"[21, 16, 63, 37, 72]","[0.7001999999999953, 0.23109999999996944, 0.2479000000000724, 0.2863999999999578, 1.0386000000000877]","[880.966, 881.6662, 881.8973, 882.1452, 882.4316]"
339,"[21, 16, 63, 37, 72]","[0.29109999999991487, 0.22520000000008622, 0.19849999999996726, 0.34219999999993433, 1.310200000000009]","[883.4702000000001, 883.7613, 883.9865000000001, 884.1850000000001, 884.5272]"
340,"[21, 16, 63, 37, 72]","[0.6859000000000606, 0.24270000000001346, 0.2156999999999698, 0.22299999999995634, 1.0120000000000573]","[885.8374, 886.5233000000001, 886.7660000000001, 886.9817, 887.2047]"
341,"[21, 16, 66, 63, 37, 72]","[0.32600000000002183, 0.23959999999999582, 0.19920000000001892, 0.2261999999999489, 0.30179999999995744, 1.2468000000000075]","[888.2167000000001, 888.5427000000001, 888.7823000000001, 888.9815000000001, 889.2077, 889.5095]"
342,"[21, 16, 63, 37, 72]","[0.3246000000000322, 0.2437999999999647, 0.20600000000001728, 0.23480000000006385, 1.8077999999999292]","[890.7563, 891.0809, 891.3247, 891.5307, 891.7655000000001]"
343,"[21, 16, 63, 37, 72]","[0.34379999999998745, 0.3288000000000011, 0.20320000000003802, 0.20929999999998472, 0.8076999999999543]","[893.5733, 893.9171, 894.2459, 894.4491, 894.6584]"
344,"[21, 13, 37, 73, 32]","[0.2925999999999931, 0.43489999999997053, 0.26350000000002183, 0.4879999999999427, 0.29110000000002856]","[895.4661, 895.7587, 896.1936, 896.4571, 896.9450999999999]"
345,"[26, 63, 37, 72]","[0.650600000000054, 0.4037999999999329, 0.28880000000003747, 1.1111000000000786]","[897.2361999999999, 897.8868, 898.2905999999999, 898.5794]"
346,"[21, 11, 13, 37, 71, 16, 63, 37, 72]","[0.27120000000002165, 0.5043999999999187, 0.4822000000000344, 0.2420999999999367, 0.5129000000000588, 0.2500999999999749, 0.33720000000005257, 0.22050000000001546, 1.0281999999999698]","[899.6905, 899.9617000000001, 900.4661, 900.9483, 901.1904, 901.7033, 901.9534, 902.2906, 902.5111]"
347,"[21, 11, 16, 63, 37, 72]","[0.3027999999999338, 0.13220000000001164, 0.23820000000000618, 0.21469999999999345, 0.22199999999998, 0.6989000000000942]","[903.5393, 903.8421, 903.9743, 904.2125, 904.4272, 904.6492]"
348,"[21, 16, 63, 37, 72]","[0.2740000000000009, 0.24469999999996617, 0.22509999999999764, 0.24119999999993524, 1.0738000000000056]","[905.3481, 905.6221, 905.8668, 906.0919, 906.3331]"
349,"[26, 61, 16, 63, 37, 72]","[0.5692000000000235, 0.426900000000046, 0.24569999999994252, 0.25319999999999254, 0.21400000000005548, 1.5801999999999907]","[907.4069, 907.9761, 908.403, 908.6487, 908.9019, 909.1159]"
350,"[21, 16, 63, 37, 72]","[0.3018000000000711, 0.28940000000000055, 0.2300999999999931, 0.21309999999994034, 1.0699000000000751]","[910.6961, 910.9979000000001, 911.2873000000001, 911.5174000000001, 911.7305]"
351,"[21, 16, 63, 37, 72]","[0.2744999999999891, 0.24680000000000746, 0.28120000000001255, 0.452199999999948, 1.1540999999999713]","[912.8004000000001, 913.0749000000001, 913.3217000000001, 913.6029000000001, 914.0551]"
352,"[21, 11, 16, 63, 37, 72]","[0.32539999999994507, 0.059700000000020736, 0.2397999999999456, 0.21040000000004966, 0.21439999999995507, 1.1815000000000282]","[915.2092, 915.5346, 915.5943, 915.8340999999999, 916.0445, 916.2588999999999]"
353,"[21, 16, 63, 33, 37, 72]","[0.28300000000001546, 0.3121999999999616, 0.2076000000000704, 0.16840000000001965, 0.12289999999995871, 1.230099999999993]","[917.4404, 917.7234, 918.0355999999999, 918.2432, 918.4116, 918.5345]"
354,"[21, 16, 63, 37, 72]","[0.3164000000000442, 0.25319999999999254, 0.19860000000005584, 0.22550000000001091, 1.1349999999998772]","[919.7646, 920.081, 920.3342, 920.5328000000001, 920.7583000000001]"
355,"[21, 16, 63, 37, 72]","[0.29750000000001364, 0.8508000000000493, 0.23910000000000764, 0.23429999999996198, 1.02800000000002]","[921.8933, 922.1908, 923.0416, 923.2807, 923.515]"
356,"[21, 13, 37, 72]","[0.28930000000002565, 0.504099999999994, 0.24909999999999854, 0.2763999999999669]","[924.543, 924.8323, 925.3364, 925.5855]"
357,"[21, 16, 63, 37, 72]","[0.30770000000006803, 0.4742999999999711, 0.391399999999976, 0.22670000000005075, 1.1797999999998865]","[925.8619, 926.1696000000001, 926.6439, 927.0353, 927.2620000000001]"
358,"[21, 16, 63, 37, 72]","[0.31490000000007967, 0.24289999999996326, 0.20320000000003802, 0.22100000000000364, 1.5727999999999156]","[928.4418, 928.7567, 928.9996, 929.2028, 929.4238]"
359,"[21, 16, 63, 33, 37, 72]","[0.4632000000000289, 0.20609999999999218, 0.2279999999999518, 0.14269999999999072, 0.2052000000001044, 0.6994000000000824]","[930.9966, 931.4598, 931.6659, 931.8938999999999, 932.0365999999999, 932.2418]"
360,"[21, 16, 66, 63, 37, 72]","[0.32809999999994943, 0.22090000000002874, 0.08119999999996708, 0.19929999999999382, 0.21609999999998308, 1.1755999999999176]","[932.9412000000001, 933.2693, 933.4902000000001, 933.5714, 933.7707, 933.9868]"
361,"[21, 16, 63, 37, 72]","[0.3205000000000382, 0.24929999999994834, 0.20850000000007185, 0.21699999999998454, 1.600400000000036]","[935.1623999999999, 935.4829, 935.7321999999999, 935.9407, 936.1577]"
362,"[21, 16, 63, 37, 72]","[0.33740000000000236, 0.28769999999997253, 0.27490000000000236, 0.20580000000006748, 1.178199999999947]","[937.7581, 938.0955, 938.3832, 938.6581, 938.8639000000001]"
363,"[21, 11, 16, 63, 37, 72]","[0.3211000000000013, 0.155399999999986, 0.22550000000001091, 0.27890000000002146, 0.21089999999992415, 0.6248000000000502]","[940.0421, 940.3632, 940.5186, 940.7441, 941.023, 941.2339]"
364,"[21, 16, 63, 37, 72]","[0.28150000000005093, 0.26269999999999527, 0.23109999999996944, 0.2504000000000133, 1.1999999999999318]","[941.8587, 942.1402, 942.4029, 942.634, 942.8844]"
365,"[21, 16, 66, 63, 37, 72]","[0.27530000000001564, 0.2563000000000102, 0.0987999999999829, 0.20830000000000837, 0.2717000000000098, 0.9980000000000473]","[944.0844, 944.3597, 944.616, 944.7148, 944.9231, 945.1948]"
366,"[21, 16, 63, 37, 72]","[0.2625000000000455, 0.2538999999999305, 0.24320000000000164, 0.19400000000007367, 1.0242999999999256]","[946.1928, 946.4553000000001, 946.7092, 946.9524, 947.1464000000001]"
367,"[21, 16]","[0.26290000000005875, 0.24119999999993524]","[948.1707, 948.4336000000001]"
368,"[63, 37, 72]","[0.22419999999999618, 0.44489999999996144, 1.3921000000000276]","[948.7245, 948.9487, 949.3936]"
369,"[21, 16, 63, 37, 72]","[0.27870000000007167, 0.2583999999999378, 0.21299999999996544, 0.21550000000002, 1.5127999999999702]","[950.7857, 951.0644000000001, 951.3228, 951.5358, 951.7513]"
370,"[21, 16, 63, 37, 72]","[0.32549999999991996, 0.2297000000000935, 0.24099999999998545, 0.2138999999999669, 1.4787000000000035]","[953.2641, 953.5895999999999, 953.8193, 954.0603, 954.2742]"
371,"[21, 16, 63, 37, 72]","[0.3509999999999991, 0.26300000000003365, 0.24139999999999873, 0.2037000000000262, 1.1434000000000424]","[955.7529, 956.1039, 956.3669, 956.6083, 956.812]"
372,"[21, 16, 63, 37, 72]","[0.30910000000005766, 0.2648999999998978, 0.2013000000000602, 0.20830000000000837, 1.177699999999959]","[957.9554, 958.2645000000001, 958.5294, 958.7307000000001, 958.9390000000001]"
373,[22],[0.06549999999992906],[960.1167]
374,"[21, 16, 63, 37, 72]","[0.20280000000002474, 0.27940000000000964, 0.20460000000002765, 0.2520999999999276, 1.4664000000000215]","[960.1822, 960.385, 960.6644, 960.869, 961.1211]"
375,"[21, 16, 63, 37, 72]","[0.33760000000006585, 0.23099999999999454, 0.25329999999996744, 0.21090000000003783, 1.0151999999999362]","[962.5875, 962.9251, 963.1561, 963.4094, 963.6203]"
376,"[21, 16, 63, 37, 72]","[0.27710000000001855, 0.21449999999992997, 0.20860000000004675, 0.2119000000000142, 1.3395000000000437]","[964.6355, 964.9126, 965.1270999999999, 965.3357, 965.5476]"
377,"[21, 16, 63, 37, 72]","[0.8062999999999647, 0.25319999999999254, 0.269800000000032, 0.19500000000005002, 1.1243999999999232]","[966.8871, 967.6934, 967.9466, 968.2164, 968.4114000000001]"
378,"[21, 16, 63, 37, 72]","[0.31730000000004566, 0.22280000000000655, 0.21479999999996835, 0.2259999999999991, 1.7189999999999372]","[969.5358, 969.8531, 970.0759, 970.2907, 970.5167]"
379,"[21, 11, 16, 62]","[0.4939000000000533, 0.5231999999999744, 0.3185999999999467, 0.4420000000000073]","[972.2357, 972.7296, 973.2528, 973.5713999999999]"
380,"[21, 16, 63, 37, 72]","[0.8214000000000397, 0.389699999999948, 0.2096000000000231, 0.27049999999997, 0.6464000000000851]","[974.0133999999999, 974.8348, 975.2244999999999, 975.4341, 975.7045999999999]"
381,"[21, 16]","[0.40949999999998, 0.1999999999999318]","[976.351, 976.7605]"
382,"[63, 37, 72]","[0.1832000000000562, 0.23769999999990432, 0.734700000000089]","[976.9907, 977.1739, 977.4115999999999]"
383,"[21, 16, 63, 37, 72]","[0.7601999999999407, 0.19880000000000564, 0.26319999999998345, 0.20069999999998345, 1.3233999999999924]","[978.1463, 978.9064999999999, 979.1052999999999, 979.3684999999999, 979.5691999999999]"
384,"[21, 16, 66]","[0.32160000000010314, 1.1492999999999256, 0.1026000000000522]","[980.8925999999999, 981.2142, 982.3634999999999]"
385,"[67, 76, 62]","[0.5794999999999391, 0.47260000000005675, 0.29710000000000036]","[982.5018, 983.0812999999999, 983.5539]"
386,"[21, 16, 62]","[0.6666999999999916, 0.42679999999995744, 1.1201999999999543]","[983.851, 984.5177, 984.9445]"
387,"[21, 16, 63, 37]","[0.4534000000001015, 0.4776999999999134, 0.2898999999999887, 0.24950000000001182]","[986.0646999999999, 986.5181, 986.9957999999999, 987.2856999999999]"
388,[32],[0.6183999999999514],[989.9633]
389,"[21, 11, 16, 63, 37, 72]","[0.40949999999998, 0.0785000000000764, 0.26529999999991105, 0.23689999999999145, 0.2193000000000893, 1.0538000000000238]","[990.5817, 990.9911999999999, 991.0697, 991.3349999999999, 991.5718999999999, 991.7912]"
390,"[26, 61, 16, 63, 37, 72]","[0.5244999999999891, 0.6497000000000526, 0.22640000000001237, 0.22349999999994452, 0.2823000000000775, 1.1777999999999338]","[992.845, 993.3695, 994.0192000000001, 994.2456000000001, 994.4691, 994.7514000000001]"
391,"[21, 16, 63, 37, 72]","[0.461400000000026, 0.20639999999991687, 0.23640000000000327, 0.2194000000000642, 1.1900999999999158]","[995.9292, 996.3906000000001, 996.597, 996.8334, 997.0528]"
392,"[21, 16, 63, 37, 72]","[0.3202999999999747, 0.22720000000003893, 0.2258000000000493, 0.2181999999999107, 1.0524000000000342]","[998.2429, 998.5631999999999, 998.7904, 999.0162, 999.2343999999999]"
393,"[21, 16, 63, 37, 72]","[0.25950000000000273, 0.2582999999999629, 0.211400000000026, 0.20650000000000546, 1.058400000000006]","[1000.2868, 1000.5463, 1000.8045999999999, 1001.016, 1001.2225]"
394,"[21, 16, 63, 37, 72]","[0.32320000000004256, 0.1933999999999969, 0.24639999999999418, 0.21529999999995653, 1.429300000000012]","[1002.2809, 1002.6041, 1002.7975, 1003.0439, 1003.2592]"
395,"[21, 16, 63, 37, 72]","[0.37980000000004566, 0.21709999999995944, 0.20990000000006148, 0.20650000000000546, 0.6954999999999245]","[1004.6885, 1005.0683, 1005.2854, 1005.4953, 1005.7018]"
396,"[26, 66, 63, 37, 72]","[0.5325000000000273, 0.648900000000026, 0.2377999999999929, 0.24469999999996617, 0.3161000000000058]","[1006.3973, 1006.9298, 1007.5787, 1007.8165, 1008.0612]"
397,"[26, 66, 61, 16, 63, 37, 72]","[0.6783000000000357, 0.549199999999928, 0.3383999999999787, 0.23940000000004602, 0.27110000000004675, 0.2118999999999005, 1.0907000000000835]","[1008.3773, 1009.0556, 1009.6048, 1009.9431999999999, 1010.1826, 1010.4537, 1010.6655999999999]"
398,"[21, 16, 66, 63, 37, 72]","[0.7178000000000111, 0.24759999999992033, 0.06569999999999254, 0.2137000000000171, 0.2983000000000402, 1.5020000000000664]","[1011.7563, 1012.4741, 1012.7216999999999, 1012.7873999999999, 1013.0011, 1013.2994]"
399,"[21, 11, 16, 63, 37, 72]","[0.3706999999999425, 0.4087000000000671, 0.2578999999999496, 0.24220000000002528, 0.2261999999999489, 1.4616000000000895]","[1014.8014000000001, 1015.1721, 1015.5808000000001, 1015.8387, 1016.0809, 1016.3071]"
