,Group,error scores,"error breakdown [seq,spatial,repeat,other]",pscores,tscores,transition_matrix,animal,type,mean latencies,standard dev latencies
2,Post Lesion,[0.74601701 0.24939417 0.00458881],[0.29894563 0.03783337 0.65619185 0.00702915],"[0.7852475928473177, 0.8842005076142132, 0.8925606247431154, 0.8346169772256727]","[0.9505265863587733, 0.9756979695431472, 0.9799630086313194, 0.9737267080745341]","[[2.0, 0.0, 5.0, 3.0], [1.0, 23.0, 2.0, 2.0], [4.0, 4.0, 1.0, 3.0], [24.0, 2.0, 161.0, 3358.0], [26.0, 175.0, 3070.0, 762.0], [290.0, 3167.0, 629.0, 6.0], [3219.0, 1013.0, 110.0, 51.0], [637.0, 91.0, 144.0, 207.0]]",EJT176,control,0.304798484848485,0.10480417750504686
0,Early Learning,[0.32951855 0.55801105 0.1124704 ],[0.48019802 0.08698727 0.354314   0.07850071],"[0.00392156862745098, 0.015625, 0.27597402597402604]","[0.23529411764705882, 0.4453125, 0.9285714285714286]","[[2.0, 3.0, 3.0, 13.0], [1.0, 89.0, 13.0, 1.0], [8.0, 23.0, 11.0, 28.0], [20.0, 6.0, 120.0, 290.0], [175.0, 39.0, 123.0, 137.0], [130.0, 112.0, 91.0, 11.0], [327.0, 191.0, 61.0, 10.0], [114.0, 178.0, 60.0, 129.0]]",EJT177,control,1.1025688000000045,0.42078687607215487
1,Pre Lesion,[0.72814798 0.2676067  0.00424532],[0.38555241 0.10113314 0.50623229 0.00708215],"[0.8120567375886525, 0.7388826606875933, 0.7614379084967321]","[0.9686761229314422, 0.9678811659192824, 0.9766214177978884]","[[2.0, 0.0, 1.0, 3.0], [1.0, 16.0, 6.0, 0.0], [0.0, 1.0, 2.0, 2.0], [10.0, 14.0, 338.0, 2367.0], [10.0, 65.0, 2057.0, 1141.0], [222.0, 2446.0, 121.0, 4.0], [2248.0, 221.0, 152.0, 31.0], [167.0, 56.0, 180.0, 251.0]]",EJT177,control,0.2892638660076885,0.14471190717487503
2,Post Lesion,[0.6641641  0.32819413 0.00764178],[0.3876634  0.1087963  0.49441721 0.00912309],"[0.6718677762367083, 0.5889016897081413, 0.5562817719680464, 0.6761229314420804, 0.7324772605671481]","[0.9610610263522886, 0.9500740618828176, 0.9578016391741883, 0.9578959810874703, 0.9398073836276083]","[[2.0, 0.0, 4.0, 1.0], [7.0, 43.0, 12.0, 4.0], [2.0, 3.0, 1.0, 2.0], [9.0, 17.0, 780.0, 3796.0], [43.0, 142.0, 2890.0, 1917.0], [501.0, 3563.0, 307.0, 23.0], [3200.0, 406.0, 333.0, 137.0], [384.0, 131.0, 167.0, 254.0]]",EJT177,control,0.3293648751397692,0.18448237182024912
0,Early Learning,[0.21762918 0.67841945 0.10395137],[0.33243728 0.05734767 0.55197133 0.05824373],"[0.06944444444444445, 0.08695652173913043, 0.08928571428571429]","[0.4444444444444444, 0.21739130434782608, 0.45535714285714285]","[[5.0, 9.0, 1.0, 7.0], [4.0, 53.0, 17.0, 2.0], [12.0, 17.0, 2.0, 25.0], [37.0, 5.0, 64.0, 165.0], [65.0, 48.0, 59.0, 220.0], [75.0, 124.0, 94.0, 12.0], [178.0, 205.0, 54.0, 14.0], [161.0, 61.0, 99.0, 89.0]]",EJT99,control,1.0471852307692286,0.40084958233579965
1,Pre Lesion,[0.59377384 0.40256371 0.00366244],[0.19863533 0.01421531 0.78544352 0.00170584],"[0.8246913580246913, 0.7950231481481481, 0.7262379896526238]","[0.9717592592592592, 0.925601851851852, 0.963229859571323]","[[1.0, 1.0, 1.0, 3.0], [17.0, 6.0, 4.0, 6.0], [4.0, 1.0, 1.0, 0.0], [6.0, 3.0, 76.0, 1810.0], [13.0, 46.0, 1699.0, 1635.0], [286.0, 1760.0, 1563.0, 11.0], [1538.0, 486.0, 229.0, 25.0], [297.0, 126.0, 77.0, 42.0]]",EJT99,control,0.3371434827484506,0.13860382168138677
2,Post Lesion,[0.6374517  0.36007943 0.00246887],[0.222835   0.04024445 0.73393948 0.00298107],"[0.6998474446987034, 0.7261363636363637, 0.6976096922069418, 0.7974824729126833, 0.8535353535353535]","[0.9462242562929062, 0.9272727272727272, 0.9474132285527178, 0.9775015933715743, 0.9639553429027113]","[[3.0, 1.0, 1.0, 2.0], [11.0, 18.0, 11.0, 1.0], [1.0, 2.0, 3.0, 1.0], [15.0, 18.0, 252.0, 2808.0], [28.0, 141.0, 2443.0, 1902.0], [317.0, 2624.0, 1623.0, 16.0], [2502.0, 798.0, 183.0, 55.0], [358.0, 131.0, 103.0, 80.0]]",EJT99,control,0.33644502805184834,0.14890347454969016
0,Early Learning,[0.39054054 0.53986486 0.06959459],[0.46182728 0.04380476 0.45181477 0.04255319],"[0.01694915254237288, 0.4138576779026217, 0.7146630236794171]","[0.6367231638418078, 0.8576779026217228, 0.8647540983606558]","[[3.0, 3.0, 9.0, 5.0], [0.0, 0.0, 0.0, 0.0], [5.0, 10.0, 7.0, 34.0], [9.0, 2.0, 77.0, 417.0], [103.0, 33.0, 233.0, 193.0], [108.0, 276.0, 136.0, 26.0], [356.0, 202.0, 46.0, 7.0], [178.0, 114.0, 141.0, 118.0]]",EJT154,lesion,0.8799048402710531,0.43527448810599434
1,Pre Lesion,[0.66369184 0.3293669  0.00694127],[0.33140343 0.08545623 0.57897175 0.0041686 ],"[0.680952380952381, 0.6974272930648769, 0.7070293094883259]","[0.943041788143829, 0.9516432299989345, 0.966194734227521]","[[2.0, 1.0, 2.0, 0.0], [0.0, 0.0, 0.0, 0.0], [6.0, 6.0, 7.0, 6.0], [28.0, 6.0, 346.0, 2311.0], [28.0, 78.0, 1766.0, 971.0], [401.0, 1762.0, 381.0, 5.0], [1755.0, 181.0, 19.0, 14.0], [424.0, 61.0, 104.0, 121.0]]",EJT154,lesion,0.3419714210178442,0.1377056816460303
2,Post Lesion,[0.31142857 0.665      0.02357143],[0.32116004 0.03759398 0.63480129 0.00644468],"[0.0756578947368421, 0.0625, 0.0]","[0.5759868421052632, 0.125, 0.0]","[[6.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 3.0, 2.0, 8.0], [24.0, 5.0, 29.0, 293.0], [55.0, 31.0, 63.0, 178.0], [52.0, 28.0, 53.0, 4.0], [60.0, 63.0, 17.0, 4.0], [192.0, 52.0, 27.0, 20.0]]",EJT154,lesion,0.7002110831234242,0.33971629336539577
